站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230518205057,28.8,1017.0,46,120,2.9,1.1,10066.7
58015,20230518205057,12.3,1019.4,98,56,9.7,0.1,10400.9
58102,20230518205057,10.7,1016.7,78,11,12.7,0.9,10339.0
58118,20230518205057,14.3,1005.9,29,75,11.1,1.2,10422.5
58122,20230518205057,18.4,1010.6,16,302,10.9,0.8,10158.1
58203,20230518205057,25.3,1015.2,65,260,13.8,0.1,10013.7
58215,20230518205057,15.4,1007.9,63,216,11.1,1.5,10095.4
58221,20230518205057,11.5,1020.7,81,4,3.8,0.0,10217.1
58225,20230518205057,24.8,1006.3,82,44,7.1,1.2,10318.5
58236,20230518205057,19.9,1009.1,33,273,5.0,1.2,10170.0
58311,20230518205057,25.4,1017.3,42,274,5.4,0.7,10017.0
58314,20230518205057,6.1,1025.1,15,147,2.0,0.6,10193.7
58319,20230518205057,11.8,1025.7,45,140,3.2,1.3,10247.6
58321,20230518205057,29.8,1025.3,35,156,13.1,0.2,10017.5
58326,20230518205057,6.3,1002.3,75,272,3.1,0.3,10183.1
58336,20230518205057,16.1,1015.7,14,33,7.0,0.3,10104.2
58338,20230518205057,25.5,1015.5,86,290,8.2,1.3,10099.7
58414,20230518205057,30.0,1025.1,47,30,3.1,0.8,10383.8
58419,20230518205057,24.6,1002.3,20,118,11.6,0.9,10341.6
58424,20230518205057,31.1,1015.7,22,128,13.6,1.4,10085.8
58429,20230518205057,21.3,1019.0,55,340,14.1,1.1,10482.7
58436,20230518205057,29.9,1004.5,62,240,12.8,1.1,10025.9
58437,20230518205057,26.4,1009.3,21,14,8.8,1.5,10217.5
58520,20230518205057,17.6,1007.3,96,307,5.0,1.3,10351.9
58531,20230518205057,16.6,1011.7,89,136,7.3,0.3,10365.6
54406,20230518205057,14.9,1020.8,47,331,11.1,0.7,10279.8
54416,20230518205057,16.4,1025.7,46,31,0.7,0.1,10364.5
54511,20230518205057,15.8,1009.8,50,172,14.6,0.5,10238.8
58725,20230518205057,4.1,1004.8,59,358,7.5,0.7,10042.3
58730,20230518205057,2.2,1026.1,83,106,13.4,1.3,10144.3
58731,20230518205057,23.9,1012.5,42,305,5.9,1.1,10326.2
58734,20230518205057,20.7,1015.6,66,4,1.7,1.4,10176.4
58737,20230518205057,2.9,1010.8,81,186,3.1,1.0,10264.4
58744,20230518205057,32.0,1022.4,92,277,8.5,0.9,10317.4
58754,20230518205057,29.8,1007.8,35,195,0.1,1.5,10235.5
58818,20230518205057,1.5,1025.1,41,329,12.5,0.1,10444.0
58820,20230518205057,27.5,1020.2,62,41,8.7,1.3,10195.8
58834,20230518205057,5.9,1020.2,85,316,7.1,0.3,10290.4
58837,20230518205057,20.9,1017.4,62,129,11.5,1.5,10230.8
58843,20230518205057,29.6,1011.8,50,48,9.1,1.3,10005.6
58846,20230518205057,10.5,1022.4,3,252,12.3,1.2,10481.8
58847,20230518205057,34.8,1021.4,54,299,4.3,1.3,10211.9
58911,20230518205057,34.1,1012.1,46,136,12.3,1.0,10216.1
58918,20230518205057,34.9,1014.7,2,294,2.7,1.4,10262.3
58921,20230518205057,4.9,1025.6,45,27,9.5,0.6,10499.2
58926,20230518205057,8.1,1003.9,26,60,12.4,1.5,10004.6
58927,20230518205057,7.8,1017.8,72,176,8.7,0.0,10021.9
58931,20230518205057,1.8,1008.5,70,178,12.7,0.7,10365.9
58933,20230518205057,14.5,1002.2,91,264,2.3,0.6,10370.5
58936,20230518205057,17.6,1018.8,64,230,14.7,0.0,10361.6
58944,20230518205057,11.5,1023.2,36,273,13.8,1.0,10325.1
59113,20230518205057,28.5,1023.2,95,195,0.2,1.1,10273.5
59126,20230518205057,30.3,1006.3,90,185,1.8,1.1,10349.8
59133,20230518205057,4.1,1010.1,26,182,14.9,0.8,10031.0
59134,20230518205057,27.2,1026.3,76,170,4.8,1.0,10297.8
59321,20230518205057,2.1,1001.6,45,261,0.0,1.4,10260.5
52323,20230518205057,13.4,1019.1,34,273,14.6,0.2,10142.8
52418,20230518205057,20.9,1001.5,32,78,2.1,0.0,10183.5
52424,20230518205057,21.6,1018.3,25,181,7.7,0.0,10328.6
52436,20230518205057,31.4,1010.4,59,333,13.7,1.4,10461.7
52446,20230518205057,14.3,1000.3,75,221,5.1,0.7,10255.8
52447,20230518205057,14.6,1000.3,97,264,8.8,0.4,10027.9
52533,20230518205057,33.0,1001.8,95,76,13.7,1.0,10177.5
52546,20230518205057,14.5,1023.5,1,151,3.5,0.2,10467.5
52652,20230518205057,17.6,1012.8,31,84,10.8,0.8,10266.0
52661,20230518205057,4.6,1001.8,33,48,9.6,0.0,10011.2
52674,20230518205057,16.4,1023.8,47,188,4.7,0.0,10111.4
