站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
1111,20230511203057,27.4,1021.2,72,209,11.6,0.6,10252.2
58015,20230511203057,3.9,1008.6,56,234,4.3,1.4,10469.4
58102,20230511203057,8.3,1004.8,32,294,9.5,1.2,10246.9
58118,20230511203057,31.1,1008.9,3,152,11.8,1.2,10269.5
58122,20230511203057,33.6,1020.3,32,347,9.7,0.6,10118.8
58203,20230511203057,27.6,1013.1,37,169,12.7,1.1,10062.1
58215,20230511203057,22.2,1006.1,53,276,11.1,1.1,10260.4
58221,20230511203057,17.3,1025.7,36,15,6.1,0.5,10160.1
58225,20230511203057,26.1,1023.8,72,208,11.7,0.6,10238.6
58236,20230511203057,5.6,1002.1,18,180,1.4,0.1,10390.8
58311,20230511203057,5.8,1024.9,18,18,0.6,0.2,10126.6
58314,20230511203057,19.6,1021.7,98,136,10.1,1.2,10220.0
58319,20230511203057,7.9,1011.8,71,206,9.6,1.3,10400.0
58321,20230511203057,16.0,1026.2,3,352,10.5,1.1,10119.9
58326,20230511203057,21.0,1019.9,46,214,11.9,1.1,10227.6
58336,20230511203057,13.5,1021.7,80,286,14.6,0.0,10381.6
58338,20230511203057,14.1,1007.2,98,56,13.5,0.3,10025.4
58414,20230511203057,34.8,1002.0,62,257,5.9,1.5,10376.6
58419,20230511203057,29.6,1024.0,46,297,1.1,1.4,10164.6
58424,20230511203057,29.2,1010.7,37,119,4.6,1.5,10194.6
58429,20230511203057,5.3,1023.0,33,185,0.7,0.2,10311.2
58436,20230511203057,25.9,1009.9,77,336,11.2,1.3,10120.9
58437,20230511203057,34.9,1015.7,7,268,13.9,1.5,10142.3
58520,20230511203057,18.4,1011.0,30,303,0.3,0.6,10097.5
58531,20230511203057,31.0,1002.0,2,46,8.1,0.9,10104.4
54406,20230511203057,6.8,1010.2,6,193,1.9,0.9,10128.6
54416,20230511203057,11.4,1014.2,87,256,12.6,0.4,10194.7
54511,20230511203057,4.5,1022.5,75,281,9.0,1.5,10360.5
58725,20230511203057,16.3,1025.1,100,285,10.9,1.2,10141.1
58730,20230511203057,29.6,1009.8,36,112,5.7,0.4,10024.3
58731,20230511203057,23.5,1013.7,79,169,9.9,1.2,10491.1
58734,20230511203057,34.0,1008.1,63,295,10.3,0.8,10051.4
58737,20230511203057,28.2,1005.2,74,211,1.5,0.8,10388.1
58744,20230511203057,29.5,1008.2,33,328,6.7,0.7,10103.5
58754,20230511203057,11.2,1017.1,19,103,3.8,1.3,10177.8
58818,20230511203057,1.2,1004.8,31,8,12.2,0.9,10421.4
58820,20230511203057,8.1,1000.8,85,201,7.5,0.9,10105.0
58834,20230511203057,6.2,1000.9,54,319,6.3,0.1,10135.0
58837,20230511203057,1.6,1009.4,90,126,6.5,0.3,10167.9
58843,20230511203057,31.4,1019.3,75,126,12.2,0.8,10312.3
58846,20230511203057,1.3,1006.8,32,281,3.7,1.5,10340.3
58847,20230511203057,13.1,1020.7,61,67,1.1,1.3,10188.1
58911,20230511203057,22.8,1002.6,16,188,10.7,1.2,10152.9
58918,20230511203057,14.4,1015.7,77,350,12.6,0.6,10145.0
58921,20230511203057,33.0,1001.0,45,206,6.4,1.1,10359.2
58926,20230511203057,12.0,1006.9,15,287,2.3,0.2,10499.6
58927,20230511203057,25.1,1011.0,3,272,4.3,0.1,10157.9
58931,20230511203057,33.9,1001.2,88,337,9.4,0.7,10356.5
58933,20230511203057,8.0,1011.4,90,302,8.1,0.9,10293.2
58936,20230511203057,12.7,1005.2,89,110,0.8,0.6,10134.3
58944,20230511203057,23.9,1018.9,46,328,7.1,0.7,10083.3
59113,20230511203057,3.9,1009.3,54,286,4.5,1.2,10486.9
59126,20230511203057,18.2,1005.4,5,254,12.8,1.3,10043.4
59133,20230511203057,1.2,1024.3,58,47,9.2,1.3,10038.3
59134,20230511203057,19.6,1011.9,77,154,12.8,0.5,10139.6
59321,20230511203057,7.3,1022.7,89,245,14.0,0.1,10082.1
52323,20230511203057,18.0,1002.6,29,218,9.5,0.4,10289.1
52418,20230511203057,8.1,1025.4,34,246,10.9,0.6,10279.0
52424,20230511203057,12.9,1020.7,4,233,3.8,1.5,10046.0
52436,20230511203057,6.8,1017.9,96,328,7.6,1.1,10292.6
52446,20230511203057,8.5,1018.1,19,85,6.4,1.4,10362.9
52447,20230511203057,13.7,1024.9,81,270,1.5,1.3,10329.5
52533,20230511203057,26.5,1008.0,74,347,4.4,1.3,10265.4
52546,20230511203057,12.5,1000.5,21,272,11.7,0.7,10324.0
52652,20230511203057,19.7,1024.5,7,94,7.9,0.0,10267.0
52661,20230511203057,10.5,1013.4,8,69,1.0,1.2,10330.9
52674,20230511203057,1.6,1012.3,28,261,10.9,0.1,10210.2
52679,20230511203057,8.5,1012.5,62,48,4.2,0.5,10122.0
52681,20230511203057,22.3,1015.1,14,277,10.3,0.7,10172.2
52787,20230511203057,24.6,1006.1,47,280,12.2,0.2,10160.3
52797,20230511203057,12.1,1026.1,90,90,0.1,0.0,10401.5
52884,20230511203057,0.6,1002.4,93,128,0.1,1.3,10404.4
52895,20230511203057,17.9,1007.4,50,157,9.2,0.2,10360.5
52983,20230511203057,7.8,1015.3,90,190,3.1,1.2,10143.9
52984,20230511203057,11.2,1020.4,52,159,14.2,0.4,10300.6
52986,20230511203057,9.8,1023.4,62,96,13.0,0.2,10212.4
52996,20230511203057,27.6,1008.4,85,48,4.8,0.1,10346.9
53821,20230511203057,17.1,1019.9,53,178,8.5,1.3,10443.7
53915,20230511203057,29.6,1010.1,83,262,12.5,0.9,10435.4
53923,20230511203057,32.4,1021.1,64,223,8.7,0.0,10046.0
56074,20230511203057,25.9,1001.5,48,191,9.2,0.7,10283.4
56080,20230511203057,3.6,1009.7,66,55,6.8,1.3,10489.9
56093,20230511203057,9.9,1012.5,46,0,4.4,1.5,10374.2
56096,20230511203057,9.7,1011.2,57,159,3.8,0.3,10289.0
57014,20230511203057,27.6,1000.0,74,147,2.8,0.4,10303.2
57996,20230511203057,3.1,1025.8,31,4,2.2,0.7,10176.7
59072,20230511203057,13.6,1021.9,77,154,12.6,0.5,10428.6
59082,20230511203057,19.1,1022.0,62,62,1.3,0.5,10134.0
59087,20230511203057,21.0,1017.3,84,341,8.3,0.8,10102.2
59088,20230511203057,21.1,1003.8,27,305,13.1,0.4,10461.2
59096,20230511203057,18.1,1007.8,54,245,6.9,0.6,10102.7
59097,20230511203057,8.6,1013.3,59,88,5.4,1.1,10230.8
59107,20230511203057,15.7,1020.8,44,320,12.6,1.4,10406.4
